Taxid	Virus Name	Parent Viral Name	Baltimore	Family	Host
11590	Toscana virus	Toscana virus	(-)ssRNA	Phenuiviridae	"human,invertebrates,vertebrates"
487099	Uukuniemi virus (strain S23)	Uukuniemi virus	(-)ssRNA	Phenuiviridae	"human,invertebrates,vertebrates"
10245	Vaccinia virus	Vaccinia virus	dsDNA	Poxviridae	"human,vertebrates"
126794	Vaccinia virus (strain Ankara)	Vaccinia virus	dsDNA	Poxviridae	"human,vertebrates"
10249	Vaccinia virus (strain Copenhagen)	Vaccinia virus	dsDNA	Poxviridae	"human,vertebrates"
31531	Vaccinia virus (strain L-IVP)	Vaccinia virus	dsDNA	Poxviridae	"human,vertebrates"
10254	Vaccinia virus (strain Western Reserve)	Vaccinia virus	dsDNA	Poxviridae	"human,vertebrates"
341980	Human herpesvirus 3 (strain Oka vaccine)	Human herpesvirus 3	dsDNA	Herpesviridae	human
10255	Variola virus	Variola virus	dsDNA	Poxviridae	human
587200	Variola virus (isolate Human/India/Ind3/1967)	Variola virus	dsDNA	Poxviridae	human
11036	Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	(+)ssRNA	Togaviridae	"human,invertebrates,vertebrates"
11276	Vesicular stomatitis virus	Vesicular stomatitis virus	(-)ssRNA	Rhabdoviridae	"invertebrates,vertebrates"
11283	Vesicular stomatitis virus (serotype New Jersey / strain Ogden)	Vesicular stomatitis virus	(-)ssRNA	Rhabdoviridae	"invertebrates,vertebrates"
11285	Vesicular stomatitis virus (strain San Juan)	Vesicular stomatitis virus	(-)ssRNA	Rhabdoviridae	"invertebrates,vertebrates"
2169971	Visna-maedi virus	Visna-maedi virus	ssRNA-RT	Retroviridae	vertebrates
39720	Walleye dermal sarcoma virus	Walleye dermal sarcoma virus	ssRNA-RT	Retroviridae	vertebrates
11082	West Nile virus (WNV)	West Nile virus	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
35269	Woodchuck hepatitis virus	Woodchuck hepatitis virus	dsDNA-RT	Hepadnaviridae	vertebrates
928314	Yaba monkey tumor virus (strain VR587)	Yaba monkey tumor virus	dsDNA	Poxviridae	vertebrates
132475	Yaba-like disease virus	Yaba-like disease virus	dsDNA	Poxviridae	human
186538	Zaire ebolavirus	Zaire ebolavirus	(-)ssRNA	Filoviridae	"human,vertebrates"
128951	Ebola virus - Zaire (1995)	Ebola virus	(-)ssRNA	Filoviridae	"human,vertebrates"
128952	"Ebola virus - Mayinga, Zaire, 1976"	Ebola virus	(-)ssRNA	Filoviridae	"human,vertebrates"
64320	Zika virus	Zika virus	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
2316109	Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010)	Zika virus	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
2043570	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Zika virus	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
10927	Bovine rotavirus	Bovine rotavirus	dsRNA	Reoviridae	"human,vertebrates"
45219	Guanarito mammarenavirus	Guanarito mammarenavirus	(-)ssRNA	Arenaviridae	"human,vertebrates"
10407	Hepatitis B virus	Hepatitis B virus	dsDNA-RT	Hepadnaviridae	"human,vertebrates"
10298	Human herpesvirus 1	Human herpesvirus 1	dsDNA	Herpesviridae	"human,vertebrates"
211787	Human papillomavirus type 92	Human papillomavirus 92	dsDNA	Papillomaviridae	human
247268	Human papillomavirus type 93	Human papillomavirus 93	dsDNA	Papillomaviridae	human
247269	Human papillomavirus type 93	Human papillomavirus 93	dsDNA	Papillomaviridae	human
10623	Kappapapillomavirus 2	Kappapapillomavirus 2	dsDNA	Papillomaviridae	vertebrates
10970	Rotavirus sp.	Rotavirus sp.	dsRNA	Reoviridae	"human,vertebrates"
