1	A1BG
10138	YAF2
10139	ARFRP1
1014	CDH16
10140	TOB1
101410538	MMP24OS
10142	AKAP9
10143	CLEC3A
10144	FAM13A
10146	G3BP1
10147	SUGP2
10148	EBI3
10149	ADGRG2
1015	CDH17
10150	MBNL2
10152	ABI2
10153	CEBPZ
10154	PLXNC1
10155	TRIM28
10156	RASA4
10157	AASS
10158	PDZK1IP1
10159	ATP6AP2
1016	CDH18
10160	FARP1
10161	LPAR6
10162	LPCAT3
10163	WASF2
10164	CHST4
10165	SLC25A13
10166	SLC25A15
10168	ZNF197
10169	SERF2
1017	CDK2
10170	DHRS9
10171	RCL1
10172	ZNF256
10174	SORBS3
10175	CNIH1
10178	TENM1
10179	RBM7
1018	CDK3
10180	RBM6
10181	RBM5
10184	LHFPL2
10186	LHFPL6
10188	TNK2
10189	ALYREF
1019	CDK4
10190	TXNDC9
101927423	PANO1
101927581	CCDC182
101927685	HSFX4
101928108	LY6L
101928147	FAM243A
101928527	PIGBOS1
101928601	MEI4
101928603	ARMH2
101928677	ETDA
101928917	HSFX3
101929355	CFAP97D2
101929469	TEX52
101929726	MYMX
101929738	AC023491.2
101929926	TEX51
101929983	PRAMEF27
101929989	LITAFD
10193	RNF41
10194	TSHZ1
10195	ALG3
10196	PRMT3
10197	PSME3
10198	MPHOSPH9
10199	MPHOSPH10
102	ADAM10
1020	CDK5
10200	MPHOSPH6
10201	NME6
10202	DHRS2
10203	CALCRL
10204	NUTF2
10205	MPZL2
10206	TRIM13
10207	PATJ
10208	USPL1
10209	EIF1
1021	CDK6
10210	TOPORS
10211	FLOT1
10212	DDX39A
10213	PSMD14
10214	SSX3
10215	OLIG2
102157402	AK6
10216	PRG4
10217	CTDSPL
10218	ANGPTL7
10219	KLRG1
1022	CDK7
10220	GDF11
10221	TRIB1
10223	GPA33
10224	ZNF443
10225	CD96
10226	PLIN3
10227	MFSD10
10228	STX6
102288414	C11orf98
10229	COQ7
10231	RCAN2
10232	MSLN
10233	LRRC23
10234	LRRC17
10235	RASGRP2
10236	HNRNPR
10237	SLC35B1
10238	DCAF7
10239	AP3S2
1024	CDK8
10240	MRPS31
10241	CALCOCO2
10242	KCNMB2
10243	GPHN
10244	RABEPK
10245	TIMM17B
10246	SLC17A2
10247	RIDA
10248	POP7
10249	GLYAT
1025	CDK9
10250	SRRM1
10251	SPRY3
10252	SPRY1
10253	SPRY2
10254	STAM2
10256	CNKSR1
10257	ABCC4
1026	CDKN1A
10260	DENND4A
10261	IGSF6
10262	SF3B4
10263	CDK2AP2
10265	IRX5
10266	RAMP2
10267	RAMP1
10268	RAMP3
10269	ZMPSTE24
1027	CDKN1B
10270	AKAP8
10272	FSTL3
102723360	MG910338.3
102723407	AC233755.1
102723451	FAM243B
102723475	KCNE1B
102723502	AC136352.4
102723532	AC171558.1
102723547	CSAG2
102723553	SMIM11B
102723555	SPDYE16
102723631	CT45A10
102723655	AC133551.1
102723655	TP53TG3
102723655	TP53TG3B
102723655	TP53TG3C
102723655	TP53TG3D
102723680	CT45A9
102723713	AC136612.1
102723713	TP53TG3
102723713	TP53TG3B
102723713	TP53TG3C
102723713	TP53TG3D
102723728	NOMO2
102723737	CT45A8
102723796	TLE7
102723849	SPDYE17
102723859	TBC1D3E
102723859	TBC1D3K
102723899	CLDN12
102723971	AL354761.1
102723996	FP565260.3
102724023	GATD3B
102724101	TP53TG3
102724101	TP53TG3B
102724101	TP53TG3C
102724101	TP53TG3D
102724101	TP53TG3E
102724127	TP53TG3
102724127	TP53TG3B
102724127	TP53TG3C
102724127	TP53TG3D
102724127	TP53TG3F
102724151	AC023491.2
102724159	FP565260.1
102724250	AC240274.1
102724334	CU639417.1
102724428	SIK1B
102724473	GAGE10
102724488	FO681492.1
102724488	FO681492.2
102724560	CBSL
102724594	U2AF1L5
102724631	POTEB
102724631	POTEB3
102724652	CRYAA2
102724657	AC113348.1
102724770	AC007325.4
102724788	AC007325.2
102724862	TBC1D3I
102725023	GU182339.2
102725023	KP420440.5
102725035	LILRB3
10273	STUB1
10274	STAG1
10276	NET1
10277	UBE4B
10278	EFS
10279	PRSS16
1028	CDKN1C
10280	SIGMAR1
102800317	TPTEP2-CSNK1E
10282	BET1
10283	CWC27
10284	SAP18
10285	SMNDC1
10286	BCAS2
10287	RGS19
10288	LILRB2
10289	EIF1B
1029	CDKN2A
10290	SPEG
10291	SF3A1
10293	TRAIP
10294	DNAJA2
10295	BCKDK
10296	MAEA
10297	APC2
10298	PAK4
10299	MARCHF6
103	ADAR
1030	CDKN2B
10300	KATNB1
10302	SNAPC5
10307	APBB3
10308	ZNF267
10309	CCNO
1031	CDKN2C
10311	VPS26C
10312	TCIRG1
10313	RTN3
10314	LANCL1
10316	NMUR1
10317	B3GALT5
10318	TNIP1
10319	LAMC3
1032	CDKN2D
10320	IKZF1
10321	CRISP3
10322	SMYD5
10324	KLHL41
10325	RRAGB
10326	SIRPB1
10327	AKR1A1
10328	EMC8
10329	RXYLT1
1033	CDKN3
10330	CNPY2
10331	B3GNT3
10332	CLEC4M
10333	TLR6
10335	MRVI1
10336	PCGF3
10342	TFG
10343	PKDREJ
10344	CCL26
10345	TRDN
10346	TRIM22
10347	ABCA7
10349	ABCA10
10350	ABCA9
10351	ABCA8
10352	WARS2
1036	CDO1
10360	NPM3
10361	NPM2
10362	HMG20B
10363	HMG20A
10365	KLF2
10367	MICU1
10368	CACNG3
10369	CACNG2
10370	CITED2
10371	SEMA3A
10376	TUBA1B
10379	IRF9
10380	BPNT1
10381	TUBB3
10382	TUBB4A
10383	TUBB4B
10384	BTN3A3
10385	BTN2A2
10388	SYCP2
10389	SCML2
1039	CDR2
10390	CEPT1
10391	CORO2B
103910	MYL12B
10392	NOD1
10393	ANAPC10
10394	PRG3
10395	AC270289.3
10395	DLC1
10396	ATP8A1
10397	NDRG1
10398	MYL9
10399	RACK1
104	ADARB1
1040	CDS1
10400	PEMT
10401	PIAS3
10402	ST3GAL6
10403	NDC80
10404	CPQ
10406	WFDC2
10407	SPAG11B
10409	BASP1
1041	CDSN
10410	IFITM3
10411	RAPGEF3
10412	NSA2
10413	YAP1
10417	SPON2
10418	SPON1
10419	PRMT5
10420	TESK2
10421	CD2BP2
10422	UBAC1
10423	CDIPT
10424	PGRMC2
10425	ARIH2
10426	TUBGCP3
10427	SEC24B
10428	CFDP1
1043	CD52
10430	TMEM147
10432	RBM14
10434	LYPLA1
10435	CDC42EP2
10436	EMG1
10437	IFI30
10438	C1D
10439	OLFM1
1044	CDX1
10440	TIMM17A
10443	N4BP2L2
10444	ZER1
10445	MCRS1
10446	LRRN2
10447	FAM3C
10449	ACAA2
1045	CDX2
10450	PPIE
10451	VAV3
10452	TOMM40
10454	TAB1
10455	ECI2
10456	HAX1
10457	GPNMB
10458	BAIAP2
10459	MAD2L2
1046	CDX4
10460	TACC3
10461	MERTK
10462	CLEC10A
10463	SLC30A9
10464	PIBF1
10465	PPIH
10466	COG5
10467	ZNHIT1
10468	FST
10469	TIMM44
1047	CLGN
10471	PFDN6
10472	ZBTB18
10473	HMGN4
10474	TADA3
10475	TRIM38
10476	ATP5PD
10477	UBE2E3
10478	SLC25A17
10479	SLC9A6
1048	CEACAM5
10480	EIF3M
10481	HOXB13
10482	NXF1
10483	SEC23B
10484	SEC23A
10485	C1orf61
10486	CAP2
10487	CAP1
10488	CREB3
10489	LRRC41
10490	VTI1B
104909134	CRHR1
104909134	LINC02210-CRHR1
10491	CRTAP
10492	SYNCRIP
10493	VAT1
10494	STK25
10495	ENOX2
10497	UNC13B
10498	CARM1
10499	NCOA2
105	ADARB2
1050	CEBPA
10500	SEMA6C
10501	SEMA6B
10505	SEMA4F
10507	SEMA4D
10509	SEMA4B
1051	CEBPB
10512	SEMA3C
10513	APPBP2
10514	MYBBP1A
10516	FBLN5
10517	FBXW10
10518	CIB2
10519	CIB1
1052	CEBPD
10520	ZNF211
10521	DDX17
10522	DEAF1
10523	CHERP
10524	KAT5
10525	HYOU1
10526	IPO8
10527	IPO7
10528	NOP56
10529	NEBL
1053	CEBPE
10531	PITRM1
10533	ATG7
10534	ZNRD2
10535	RNASEH2A
10536	P3H3
10537	UBD
105371045	PERCC1
105371242	PPIAL4H
105371346	CPHXL
105372280	GNG14
105372824	PDXK
105373251	FAM236D
105373377	PNMA6F
105375355	UPK3B
105376230	TEX53
105378220	MARCOL
105378696	TMEM275
105378803	LRRC53
105378952	KLF18
10538	BATF
10539	GLRX3
1054	CEBPG
10540	DCTN2
10541	ANP32B
10542	LAMTOR5
10544	PROCR
10548	TM9SF1
10549	PRDX4
10550	ARL6IP5
10551	AGR2
10552	ARPC1A
10553	HTATIP2
10554	AGPAT1
10555	AGPAT2
10556	RPP30
10557	RPP38
10558	SPTLC1
10559	SLC35A1
1056	CEL
10560	SLC19A2
10561	IFI44
10562	OLFM4
10563	CXCL13
10564	ARFGEF2
10565	ARFGEF1
10566	AKAP3
10567	RABAC1
10568	SLC34A2
10569	SLU7
10570	DPYSL4
10572	SIVA1
10573	MRPL28
10574	CCT7
10575	CCT4
10576	CCT2
10577	NPC2
10578	GNLY
10579	TACC2
1058	CENPA
10580	SORBS1
10581	IFITM2
10584	COLEC10
10585	POMT1
10586	MAB21L2
10587	TXNRD2
10588	MTHFS
10589	DRAP1
1059	CENPB
10590	SCGN
10591	DNPH1
10592	SMC2
10594	PRPF8
10595	ERN2
10597	TRAPPC2B
10598	AHSA1
10599	SLCO1B1
1060	CENPC
10600	USP16
10602	CDC42EP3
10603	SH2B2
10605	PAIP1
10606	PAICS
10607	TBL3
10608	MXD4
10609	P3H4
10610	ST6GALNAC2
10611	PDLIM5
10612	TRIM3
10613	ERLIN1
10614	HEXIM1
10615	SPAG5
10616	RBCK1
10617	STAMBP
10618	TGOLN2
1062	CENPE
10620	ARID3B
10621	POLR3F
10622	POLR3G
10623	POLR3C
10625	IVNS1ABP
10626	TRIM16
10627	MYL12A
10628	TXNIP
10629	TAF6L
1063	CENPF
10630	PDPN
10631	POSTN
10632	ATP5MG
10633	RASL10A
10634	GAS2L1
10635	RAD51AP1
10636	RGS14
10637	LEFTY1
10640	EXOC5
10641	NPRL2
10642	IGF2BP1
10643	IGF2BP3
10644	IGF2BP2
10645	CAMKK2
10647	SCGB1D2
10648	SCGB1D1
10650	PRELID3A
10651	MTX2
10652	YKT6
10653	SPINT2
10654	PMVK
10655	DMRT2
10656	KHDRBS3
10657	KHDRBS1
10658	CELF1
10659	CELF2
1066	CES1
10660	LBX1
10661	KLF1
10663	CXCR6
10664	CTCF
10665	TSBP1
10666	CD226
10667	FARS2
10668	CGRRF1
10669	CGREF1
10670	RRAGA
106707243	TAS2R14
10671	DCTN6
10672	GNA13
10673	TNFSF13B
10675	CSPG5
10677	AVIL
10678	B3GNT2
1068	CETN1
10681	GNB5
10682	EBP
106821730	PAK6
10683	DLL3
10686	CLDN16
106865373	GET1-SH3BGR
10687	PNMA2
1069	CETN2
10690	FUT9
10691	GMEB1
10692	RRH
10693	CCT6B
10694	CCT8
10695	CNPY3
10699	CORIN
107	ADCY1
1070	CETN3
107080638	TBC1D7
107080644	GNMT
1071	CETP
10712	FAM189B
10713	USP39
10714	POLD3
10715	CERS1
10716	TBR1
10717	AP4B1
10718	NRG3
1072	CFL1
10720	UGT2B11
10721	POLQ
10723	SLC12A7
10724	OGA
10725	NFAT5
10726	NUDC
10728	PTGES3
107282092	BOLA2-SMG1P6
1073	CFL2
10730	YME1L1
10732	TCFL5
10733	PLK4
10734	STAG3
10735	STAG2
10736	SIX2
10738	RFPL3
10739	RFPL2
10741	RBBP9
10742	RAI2
10743	RAI1
10744	PTTG2
10745	PHTF1
10746	MAP3K2
10747	MASP2
10749	KIF1C
1075	CTSC
10750	GRAP
10752	CHL1
10753	CAPN9
10755	GIPC1
10758	TRAF3IP2
10761	PLAC1
10762	NUP50
10763	NES
10765	KDM5B
10766	TOB2
10767	HBS1L
10768	AHCYL1
10769	PLK2
10771	ZMYND11
10772	SRSF10
10773	ZBTB6
10775	POP4
10776	ARPP19
10777	ARPP21
10780	ZNF234
10781	ZNF266
10782	ZNF274
10783	NEK6
10785	WDR4
10786	SLC17A3
10787	NCKAP1
10788	IQGAP2
10791	VAMP5
10793	ZNF273
10794	ZNF460
10795	ZNF268
10797	MTHFD2
10798	OR5I1
107983988	SPEM3
107983991	LINC01862
107983993	UPK3BL2
107984156	AC139677.2
107984345	SMIM38
107984640	LBHD2
107986084	USP4
107986096	MDFIC2
107987155	OOSP4B
107987373	AC004556.3
107987373	MRPL23
107987425	LILRB3
107987457	PPP1R18
107987462	LILRB3
107987478	CYP2D6
107987479	CYP2D6
107987545	AC243837.1
10799	RPP40
108	ADCY2
1080	CFTR
10800	CYSLTR1
10801	SEPTIN9
10802	SEC24A
10803	CCR9
10804	GJB6
10806	SDCCAG8
10807	ENTR1
10808	HSPH1
10809	STARD10
1081	CGA
10810	WASF3
10811	NOXA1
10813	UTP14A
10814	CPLX2
10815	CPLX1
10816	SPINT3
10817	FRS3
10818	FRS2
1082	CGB3
10825	NEU3
10826	FAXDC2
