Branch	Gene
0	RP3-402G11.5
0	TP63
0	ALPK1
0	LLGL2
0	PDE8A
0	CLCN4
0	NLE1
0	SDHA
0	SMARCE1
4	FNDC8
4	GSDMB
0	KDM5A
0	ADAM11
0	PPP2R3A
0	FERMT2
0	ABCB11
0	DHRS9
4	CD5L
0	PTGS2
0	IGF2BP2
0	MAP3K13
0	ST6GAL1
0	TBX21
0	FRY
0	PICALM
0	NSF
0	GLI2
0	CLASP1
0	MRPS34
0	NOTCH3
0	CLNS1A
0	PPP2R2C
0	EED
0	CDHR2
0	SNCB
0	TSG101
0	C17orf85
0	ATP2A3
0	CA12
0	MGLL
0	NTN4
0	BCS1L
0	NUAK1
1	DPP8
0	SLC24A1
0	ZNF532
0	SCARF1
0	LMAN1
0	PTPLAD1
0	IPCEF1
0	ZZEF1
2	NOX3
0	ENO1
0	SLC12A1
2	C19orf10
0	ANO8
0	TUBE1
0	ARHGEF10L
2	TXK
0	WSCD2
0	KCNQ2
0	TACR2
0	ACTR6
0	TIPIN
1	SRI
0	EIF4G3
0	NUP37
0	SEMA3A
1	GTSE1
1	SEMA3C
0	TTC38
0	ACAT1
0	GRAMD4
0	CELSR1
0	WNT8B
0	ZNF638
1	SLC25A40
0	TIMM21
0	ADD2
0	FGF4
0	RASAL2
0	VPS9D1
6	ZNF37A
0	MARK3
0	SLC25A3
0	FNDC3B
0	FOSL2
0	CACNG5
0	CACNG4
0	FRYL
0	TMEM131
0	FSCN1
0	ACTB
0	MOCOS
1	PLD1
1	ATP12A
0	WDR62
0	DLG1
0	RAB7A
0	BCAP29
0	SEC31B
0	SART3
1	ARHGAP15
12	TUBA3D
0	PAX2
0	EXOSC7
0	KIFAP3
0	MKRN2
0	MCM6
0	REXO2
1	RBM7
0	RBMS2
0	BAZ2A
0	PTPN23
0	MLH1
0	UNG
1	FMO4
0	KLHL20
0	RGS11
0	SLC46A1
0	PLXNA2
2	SPAG5
0	ANKRD13A
0	TPD52
0	ACACB
0	TRAF4
0	PAG1
0	GPATCH1
3	ICAM3
0	NT5C2
0	MCAM
0	GPC4
0	MBNL3
0	CAMSAP3
0	RAP1GAP
0	XAB2
0	ARHGEF1
0	STXBP2
0	MAP2K7
0	NMRK2
0	DGKD
0	CTTNBP2
3	ACTL6B
0	RARB
0	TOP2B
0	TM9SF3
0	NFKB2
0	UBE2T
1	PPP1R12B
0	DNAJC10
0	GTF3C1
3	IL4R
0	USP33
0	PAK3
0	CAPN6
0	DCX
0	SNRPA
0	SPAG6
0	DYNC1I2
0	APBB1IP
0	LRCH4
0	FAM76B
0	SIRT6
0	TYR
0	POLD3
0	ACTN2
0	CAPZB
0	GPR137B
0	NAALAD2
0	PHF17
0	SLC25A43
0	UBE2A
0	FGFR1
0	FKBP6
1	GTF2I
1	SMC1B
0	FBLN1
0	ITGA8
1	CST7
0	MAP2
0	PIAS2
0	AMPH
3	ARAF
0	MCCC1
3	LAMP3
0	FAP
1	NEBL
0	ACER3
0	UBE2K
0	PIK3C3
0	N4BP2
1	C12orf5
1	TULP3
1	SYNJ2
2	ADCY2
0	PPP2R5C
0	RBFOX1
0	GNB1
0	HOXA9
0	EDN1
0	MLLT10
3	ZCWPW1
0	ADCYAP1R1
0	FGF20
0	P2RY10
1	ITM2A
0	NRD1
1	VDAC3
0	PCM1
0	TNRC6C
0	CBFA2T2
0	DBC1
0	ITCH
2	PKD2L2
1	TP53INP2
0	SDF4
0	MYH7B
3	BPIFB2
0	TP73
0	TOLLIP
0	UBE2D4
1	CLUL1
0	RUNX1T1
1	CDH17
0	THOC1
0	FKBP7
0	OSBPL6
0	SLC1A3
0	XRCC5
0	LXN
5	SP140
0	MKNK1
0	TNS1
0	REXO1
0	SAR1A
1	CDC14A
0	RAPGEF3
3	CEACAM1
0	SENP1
0	DUSP13
0	CIC
0	LIPE
0	FDFT1
0	PAFAH1B3
1	OPHN1
3	AFM
0	KIF22
0	SCGN
0	LRRC16A
0	PGM1
0	DDX1
0	DNM2
0	EPB41L2
0	RIMS1
1	MOXD1
0	STX7
0	RABL2B
0	KEAP1
0	DDX43
0	PTPRH
0	DCT
0	SLC35C2
1	CRYBG3
1	EPHA6
1	SCTR
0	RFX3
0	RIF1
0	RAB21
0	SLC4A4
0	SMARCA2
0	RDH8
0	SESN1
0	MID2
0	COL5A3
0	SRCAP
0	KIAA0020
0	CPB2
0	CHRNA3
0	KCNN2
0	CNOT4
0	PSEN1
0	CPOX
0	CLDND1
0	MOK
0	HSP90AA1
0	RBL1
0	DLGAP4
0	IGSF9B
1	NDC80
0	AP4E1
0	RSBN1
0	MAGI3
5	CXCL2
4	AFP
2	COL4A4
0	TCF7
0	OSTM1
0	CDH7
0	IMPG2
0	PCNP
0	EXD2
0	ARG2
0	MEF2C
0	PTPRC
0	CACNA1S
0	PKP1
0	UBA5
0	STK17B
0	CDC14B
5	ZNF510
0	LRP2
9	ZNF506
0	JMJD4
0	DUSP12
0	AACS
2	KIAA0141
1	SLC13A1
0	CADPS2
0	PCDHB4
0	PCDHA6
0	PCDHGA2
3	HSPB11
0	PHLPP1
0	ATP8B1
1	IL12RB2
0	SMARCD3
0	WDR70
1	FYB
0	MPP4
0	STRADB
0	BZW1
0	PGR
0	C1QTNF3
0	ME2
0	C5orf22
0	CCNT2
0	FAM135A
0	COL19A1
0	EPB41L3
0	COBLL1
0	DLG3
0	KCNK2
1	SERTAD4
1	TRAF5
0	MRPL22
0	GEMIN5
1	OPRK1
0	NFE2L1
0	SEMA5B
0	GSK3B
0	ITGB5
0	ERC1
0	XPO1
5	C4orf6
0	RNF13
0	TRPM3
1	PALB2
0	DOPEY1
0	LYRM2
0	BCKDHB
0	KAT6A
0	ZCCHC6
0	ULK2
0	GRHL2
0	TNPO1
0	PLOD1
0	P2RX5
0	ITGAE
0	DIS3
0	PIBF1
0	TDRD3
1	NUFIP1
0	PDS5B
0	OXCT1
3	RRAGB
0	EPYC
0	CYLD
3	SLC27A5
5	ZNF324
5	ZNF671
4	ZNF416
4	ZNF586
4	ZNF446
4	ZNF8
4	ZNF264
0	RPS5
0	FAT1
0	YTHDC1
0	CHMP2B
0	SMAP2
4	PPIE
0	ZMPSTE24
0	STARD7
0	NOA1
0	REST
0	HAL
0	SSH1
3	GSTP1
0	APLP2
1	KIAA1467
2	SLCO1A2
0	WBP11
0	EIF3I
0	NKAIN1
0	COL16A1
0	TXLNA
0	APOB
0	NCOA1
0	AGBL5
0	EFR3B
0	KIF3C
0	RAB10
0	HADHA
0	MAPRE3
0	CAD
4	CD59
0	CD82
0	BCORL1
0	ATRX
0	TAF9
5	FCN1
0	MYNN
0	MECOM
0	SCAMP1
0	PREP
0	HACE1
0	SEH1L
0	WDR47
0	WDFY1
2	SLC25A24
0	MAP3K4
5	PILRA
1	IGSF9
0	ABCB1
1	ZNF213
0	AKR1B1
0	CPNE3
0	RRN3
0	CTTN
0	WNT11
0	MTIF2
0	DDHD2
0	TTC39A
0	EPS15
0	ORC1
1	MGST2
0	CHERP
0	ATG16L1
0	USP40
0	POMGNT1
0	RAD54L
0	MAST2
0	DNAJA1
1	B4GALT1
0	CHMP5
0	NFX1
1	AQP6
0	DIMT1
0	IPO11
2	FOLH1
0	EIF2AK1
1	NME8
0	EPDR1
1	SNX10
0	SEPHS1
0	MRPL28
4	HBQ1
0	ITPKC
0	FAT2
0	RBM22
0	TMED2
0	ERO1LB
0	ZFAND6
1	HSD17B2
0	TXLNG
0	PPEF1
4	LAT2
0	HUWE1
0	ZW10
0	ALG9
0	MYBPC2
0	NOX4
0	ACOX3
0	MTMR2
3	PPP1R15A
0	HSD17B14
0	TRIP6
0	ACHE
1	FTL
0	SRRT
5	BAX
0	NLK
0	PIGS
2	ADAMTS2
2	TMPRSS11E
0	ATXN7L3
0	PGS1
0	PSMC5
1	UIMC1
2	CETP
0	MMP2
5	MT3
0	LPCAT2
0	GNAO1
0	OGFOD1
0	SH3BP2
0	NOP14
0	ADD1
0	L2HGDH
1	TXNDC16
0	C14orf166
0	NID2
0	GMCL1
0	SF3B2
0	KLHL42
0	GNAS
0	DNM1L
0	PTHLH
0	PHACTR3
0	ERGIC2
0	TFAP2C
0	AURKA
0	CASS4
0	PIR
0	AAMDC
0	RFX2
0	SLC6A14
0	METTL2A
1	SULT2B1
0	ALG6
0	CNOT3
5	GP6
0	PTPN4
0	DDX18
0	KHSRP
0	GNA11
0	ASAP3
0	EDEM2
0	DNMT3B
2	REM1
0	TPX2
4	PDRG1
0	EPB41L1
0	SLC15A1
0	DOCK9
0	ANKRD10
1	TGDS
0	DOCK3
0	C3orf18
0	COQ9
3	TMEM40
0	KIF9
1	ARHGAP28
0	CRLS1
5	DEFB127
0	PPP1R13B
0	ATRN
0	SMOX
1	SIGLEC1
0	FKBP1A
0	NSFL1C
0	SLC4A11
0	C20orf194
4	ZNF343
3	EBF4
0	CPXM1
4	MAVS
0	LZTS3
1	F11
0	XRN2
